orderid,customerid,productid,orderdate,quantity,orderamt,salesrep
16088,SS3300,BC111d,2021-11-16,16,1012.48,Ravi
16089,SI4896,A802a,2021-11-16,486,4942.62,Ravi
16090,SC9489,A802a,2021-11-16,373,3793.41,Róisín
16091,CD7311,W8931,2021-11-16,491,22203.02,Ravi
16092,TS4266,BC111d,2021-11-17,7187,454793.36,Leslie
16093,NS7598,A802a,2021-11-17,431,4383.27,Róisín
16094,OS4150,BC111d,2021-11-17,782,49484.96,Liam
16095,SB9448,BC111d,2021-11-17,580,36702.4,Zuri
16096,OF1425,A802a,2021-11-17,539,5481.63,Róisín
16097,NS7598,R9S10,2021-11-17,1277,55970.91,Ravi
16098,TS4266,BC111d,2021-11-17,1887,119409.36,Róisín
16099,AM4609,W8931,2021-11-17,8001,361805.22,Leslie
16100,CI2071,Q28R3,2021-11-17,6534,1152140.22,Zuri
16101,SS3300,A802a,2021-11-18,1509,15346.53,Róisín
16102,OS8224,BC111d,2021-11-18,7307,462386.96,Róisín
16103,QS2174,BC111d,2021-11-18,4527,286468.56,Leslie
16104,NV2970,A802a,2021-11-18,300,3051.0,Zuri
16105,AI3651,Q28R3,2021-11-18,6396,1127806.68,Leslie
16106,OI5050,A802a,2021-11-18,5940,60409.8,Liam
16107,NS7598,BC111d,2021-11-18,504,31893.12,Róisín
16108,SS3300,A802a,2021-11-18,614,6244.38,Róisín
16109,SS3300,BC111d,2021-11-18,5846,369934.88,Róisín
16110,OM8279,A802a,2021-11-19,431,4383.27,Leslie
16111,OS8224,A802a,2021-11-19,1298,13200.66,Róisín
16112,QE1185,A802a,2021-11-19,6506,66166.02,Ravi
16113,OS9656,A802a,2021-11-19,162,1647.54,Leslie
16114,OS9656,BC111d,2021-11-19,4756,300959.68,Harry
16115,AM4609,A802a,2021-11-20,4775,48561.75,Róisín
16116,OS9656,BC111d,2021-11-22,4598,290961.44,Ravi
16117,OI7366,A802a,2021-11-22,424,4312.08,Róisín
16118,OM8279,W8931,2021-11-22,7397,334492.34,Zuri
16119,OF1425,A802a,2021-11-22,252,2562.84,Ravi
16120,TF6550,W8931,2021-11-22,532,24057.04,Ravi
16121,OI5050,W8931,2021-11-22,56,2532.32,Harry
16122,OS9656,A802a,2021-11-22,3227,32818.59,Róisín
16123,CD7311,W8931,2021-11-22,3804,172016.88,Ravi
16124,MM9297,A802a,2021-11-23,434,4413.78,Zuri
16125,AH4803,BC111d,2021-11-23,2817,178259.76,Harry
16126,SB0048,A802a,2021-11-23,495,5034.15,Zuri
16127,SS3300,W8931,2021-11-23,286,12932.92,Ravi
16128,NS7598,A802a,2021-11-23,567,5766.39,Zuri
16129,AR4667,A802a,2021-11-23,7313,74373.21,Leslie
16130,MD4706,W8931,2021-11-23,5503,248845.66,Zuri
16131,QE1185,JQ9322,2021-11-23,9183,229483.17,Róisín
16132,MC7659,JQ9322,2021-11-23,6096,152339.04,Liam
16133,SC8893,W8931,2021-11-24,398,17997.56,Ravi
16134,TF4085,W8931,2021-11-24,49,2215.78,Leslie
16135,SS3300,Q28R3,2021-11-24,294,51841.02,Róisín
16136,OF1425,R9S10,2021-11-24,357,15647.31,Róisín
16137,SC9489,A802a,2021-11-24,389,3956.13,Róisín
16138,QS2917,BC111d,2021-11-25,291,18414.48,Zuri
16139,SS3300,BC111d,2021-11-25,254,16073.12,Ravi
16140,MC7659,BC111d,2021-11-25,279,17655.12,Liam
16141,AI3651,A802a,2021-11-25,7074,71942.58,Liam
16142,TM3521,BC111d,2021-11-25,5619,355570.32,Harry
16143,DS7471,W8931,2021-11-25,376,17002.72,Zuri
16144,SS3300,Q28R3,2021-11-25,645,113732.85,Ravi
16145,OS9656,W8931,2021-11-26,440,19896.8,Ravi
16146,TM4374,Q28R3,2021-11-26,4469,788018.77,Ravi
16147,OM8279,BC111d,2021-11-26,4606,291467.68,Zuri
16148,MD4706,Q28R3,2021-11-26,4541,800714.53,Zuri
16149,SC9489,W8931,2021-11-26,394,17816.68,Ravi
16150,SC9489,Q28R3,2021-11-26,712,125546.96,Róisín
16151,OM8279,W8931,2021-11-29,48,2170.56,Zuri
16152,MD4706,R9S10,2021-11-29,159,6968.97,Ravi
16153,DS7471,A802a,2021-11-29,254,2583.18,Leslie
16154,SV2319,BC111d,2021-11-29,81,5125.68,Ravi
16155,TF6550,A802a,2021-11-29,5175,52629.75,Liam
16156,OS6792,BC111d,2021-11-29,521,32968.88,Róisín
16157,TM4374,W8931,2021-11-29,413,18675.86,Liam
16158,AD1457,W8931,2021-11-30,194,8772.68,Róisín
16159,AM4609,A802a,2021-11-30,352,3579.84,Leslie
16160,SC9489,A802a,2021-11-30,413,4200.21,Ravi
16161,OI5050,R9S10,2021-11-30,404,17707.32,Róisín
16162,AI3651,R9S10,2021-11-30,5037,220771.71,Harry
16163,AD1457,BC111d,2021-11-30,597,37778.16,Harry
16164,AI3651,BC111d,2021-12-01,611,38664.08,Leslie
