orderid,customerid,productid,orderdate,quantity,orderamt,salesrep
16088,NM1588,Q28R3,2021-11-16,350,61715.5,Hannah
16089,TC0514,W8931,2021-11-16,323,14606.06,Sam
16090,ZH3981,A802a,2021-11-16,359,3651.03,Ingrid
16091,NM1588,EE05x,2021-11-16,362,131413.24,Hannah
16092,SC7962,BC111d,2021-11-16,304,19237.12,Shalini
16093,NR3611,BC111d,2021-11-16,317,20059.76,Ethan
16094,NF7397,A802a,2021-11-16,346,3518.82,Ingrid
16095,QS1139,R9S10,2021-11-16,545,23887.35,Ingrid
16096,SC9674,A802a,2021-11-16,343,3488.31,Ethan
16097,CS5977,W8931,2021-11-16,326,14741.72,Sam
16098,NM1588,A802a,2021-11-16,361,3671.37,Hannah
16099,QI5038,JQ9322,2021-11-16,456,11395.44,Hannah
16100,SC7962,A802a,2021-11-16,345,3508.65,Hannah
16101,MM0344,A802a,2021-11-16,366,3722.22,Shalini
16102,SC7962,W8931,2021-11-16,353,15962.66,Hannah
16103,TC0514,W8931,2021-11-16,326,14741.72,Ingrid
16104,SC7962,BC111d,2021-11-16,351,22211.28,Ethan
16105,SV2287,W8931,2021-11-16,324,14651.28,Hannah
16106,NR3611,BC111d,2021-11-16,361,22844.08,Hannah
16107,QS1139,A802a,2021-11-16,343,3488.31,Gowoon
16108,AS0053,A802a,2021-11-16,340,3457.8,Sam
16109,SC7962,W8931,2021-11-16,330,14922.6,Shalini
16110,CS5977,W8931,2021-11-17,441,19942.02,Gowoon
16111,CS5977,W8931,2021-11-17,408,18449.76,Sam
16112,AM1674,A802a,2021-11-17,382,3884.94,Ingrid
16113,RV9064,A802a,2021-11-17,384,3905.28,Gowoon
16114,CI4562,W8931,2021-11-17,425,19218.5,Ingrid
16115,CS5977,A802a,2021-11-17,401,4078.17,Sam
16116,TS1163,BC111d,2021-11-17,351,22211.28,Hannah
16117,SS3811,BC111d,2021-11-17,352,22274.56,Shalini
16118,QS1139,W8931,2021-11-17,463,20936.86,Sam
